2017-01-21 03:38:33,752 [Thread-9] INFO  marytts.JTokeniser Power-on self test complete.
2017-01-21 03:38:33,752 [Thread-9] INFO  marytts.DummyTokens2Words Module started (TOKENS->WORDS, locale null).
2017-01-21 03:38:33,752 [Thread-9] INFO  marytts.DummyTokens2Words Starting power-on self test.
2017-01-21 03:38:33,752 [Thread-9] INFO  marytts.DummyTokens2Words Power-on self test complete.
2017-01-21 03:38:33,752 [Thread-9] INFO  marytts.JPhonemiser Module started (PARTSOFSPEECH->PHONEMES, locale ru).
2017-01-21 03:38:33,752 [Thread-9] INFO  marytts.JPhonemiser Starting power-on self test.
2017-01-21 03:38:33,768 [Thread-9] INFO  marytts.JPhonemiser Power-on self test complete.
2017-01-21 03:38:33,768 [Thread-9] INFO  marytts.Prosody Module started (PHONEMES->INTONATION, locale null).
2017-01-21 03:38:33,768 [Thread-9] INFO  marytts.Prosody Starting power-on self test.
2017-01-21 03:38:33,768 [Thread-9] INFO  marytts.Prosody Power-on self test complete.
2017-01-21 03:38:33,768 [Thread-9] INFO  marytts.OpenNLPPosTagger Module started (WORDS->PARTSOFSPEECH, locale ru).
2017-01-21 03:38:33,768 [Thread-9] INFO  marytts.OpenNLPPosTagger Starting power-on self test.
2017-01-21 03:38:33,768 [Thread-9] INFO  marytts.OpenNLPPosTagger Power-on self test complete.
2017-01-21 03:38:33,768 [Thread-9] INFO  marytts.JPhonemiser Module started (PARTSOFSPEECH->PHONEMES, locale sv).
2017-01-21 03:38:33,768 [Thread-9] INFO  marytts.JPhonemiser Starting power-on self test.
2017-01-21 03:38:33,768 [Thread-9] INFO  marytts.JPhonemiser Power-on self test complete.
2017-01-21 03:38:33,768 [Thread-9] INFO  marytts.OpenNLPPosTagger Module started (WORDS->PARTSOFSPEECH, locale sv).
2017-01-21 03:38:33,768 [Thread-9] INFO  marytts.OpenNLPPosTagger Starting power-on self test.
2017-01-21 03:38:33,768 [Thread-9] INFO  marytts.OpenNLPPosTagger Power-on self test complete.
2017-01-21 03:38:33,768 [Thread-9] INFO  marytts.JTokeniser Module started (RAWMARYXML->TOKENS, locale te).
2017-01-21 03:38:33,783 [Thread-9] INFO  marytts.JTokeniser Starting power-on self test.
2017-01-21 03:38:33,783 [Thread-9] INFO  marytts.JTokeniser Power-on self test complete.
2017-01-21 03:38:33,783 [Thread-9] INFO  marytts.DummyTokens2Words Module started (TOKENS->WORDS, locale null).
2017-01-21 03:38:33,783 [Thread-9] INFO  marytts.DummyTokens2Words Starting power-on self test.
2017-01-21 03:38:33,783 [Thread-9] INFO  marytts.DummyTokens2Words Power-on self test complete.
2017-01-21 03:38:33,783 [Thread-9] INFO  marytts.JPhonemiser Module started (PARTSOFSPEECH->PHONEMES, locale te).
